twitch_login,name,channel_name,total_donations,total_viewers_max,duration_seconds,donations_final,donations_start,avg_viewers_zevent,peak_viewers_zevent,watch_time_hours,stream_time_hours,peak_viewers_twitch,avg_viewers_twitch,followers,is_partnered,is_mature,language,avg_watch_per_stream_hour,global_rank,rank_in_page,page,donations_per_hour,donations_per_follower,twitch_efficiency,donations_rank
domingo,Domingo,Domingo,1479669.67,"[1757285973691, 259237.0]",2179.0,1478062.67,7492.9,50170.68468468468,259237.0,2471463.0,37.0,253936.0,66796.0,1953343.0,True,False,French,66796.2972972973,1.0,1.0,1.0,2444612.5800826065,0.7575063212144513,66796.2972972973,1
antoinedaniel,AntoineDaniel,AntoineDaniel,1218838.44,"[1757285973691, 111700.0]",2288.0,1218396.44,9899.63,30841.93693693693,111700.0,1459780.0,38.5,87263.0,37916.0,1093801.0,True,True,French,37916.36363636364,2.0,2.0,1.0,1917752.7902097905,1.1143146148156748,37916.36363636364,2
zerator,ZeratoR,ZeratoR,1154211.58,"[1757285973691, 171999.0]",2319.0,1150918.53,10386.36,20444.37837837838,171999.0,923890.25,39.75,132082.0,23243.0,1628114.0,True,False,French,23242.522012578615,5.0,5.0,1.0,1791790.2923674,0.7089255297847694,23242.522012578615,3
angledroit,AngleDroit,AngleDroit,568758.58,"[1757285973691, 17484.0]",2184.0,568653.58,53940.19,3946.963963963964,17484.0,175574.0,36.75,14651.0,4778.0,279521.0,True,False,French,4777.523809523809,20.0,20.0,1.0,937514.1428571428,2.034761538489058,4777.523809523809,4
mastu,Mastu,Mastu,553537.29,"[1757285973691, 77795.0]",1823.0,553328.29,6985.5,18061.81081081081,77795.0,832882.75,31.0,69973.0,26867.0,1350788.0,True,False,French,26867.18548387097,7.0,7.0,1.0,1093107.1003839823,0.4097884271995309,26867.18548387097,5
clemovitch,Clemovitch,Clemovitch,420852.19,"[1757285973691, 28307.0]",2291.0,420771.19,11005.99,5267.612612612613,28307.0,253439.25,38.75,28034.0,6540.0,191298.0,True,False,French,6540.367741935484,15.0,15.0,1.0,661312.9131383675,2.199982174408514,6540.367741935484,6
samueletienne,samueletienne,samueletienne,403097.43,"[1757285973691, 93726.0]",2419.0,402996.43,7359.59,9980.234234234234,93726.0,436980.5,41.0,48305.0,10658.0,1124421.0,True,False,French,10658.060975609756,12.0,12.0,1.0,599896.9607275734,0.3584933312344753,10658.060975609756,7
sylvainlyve,SylvainLyve,SylvainLyve,402050.12,"[1757285973691, 42177.0]",2079.0,401980.12,4937.3,11992.018018018018,42177.0,565040.5,35.25,39235.0,16030.0,345689.0,True,False,French,16029.517730496456,10.0,10.0,1.0,696190.6839826839,1.163039957881217,16029.517730496456,8
joueur_du_grenier,Joueur_du_Grenier,Joueur_du_Grenier,342077.26,"[1757265513691, 110785.0]",1730.0,342027.26,1445.0,19356.630630630632,110785.0,934216.5,29.5,107832.0,31668.0,1058366.0,True,False,French,31668.35593220339,3.0,3.0,1.0,711837.07283237,0.3232126315471207,31668.35593220339,9
mistermv,mistermv,mistermv,306123.27,"[1757285973691, 19458.0]",2249.0,305998.27,3240.93,7364.90990990991,19458.0,379381.0,38.0,25871.0,9984.0,905998.0,True,False,French,9983.71052631579,14.0,14.0,1.0,490015.0164517564,0.337885149856843,9983.71052631579,10
